sep=,
"Time","flink_jobmanager_numRegisteredTaskManagers{app=""flink"", component=""jobmanager"", controller_uid=""f87f0dfe-38c8-4348-b143-8c906dc3ebce"", host=""flink_jobmanager"", instance=""10.120.0.5:9249"", job=""kubernetes-pods-scrape-every-2s"", job_name=""flink-jobmanager"", kubernetes_namespace=""default"", kubernetes_pod_name=""flink-jobmanager-q6jfd""}"
2022-02-21 19:06:15,8
2022-02-21 19:06:30,8
2022-02-21 19:06:45,8
2022-02-21 19:07:00,8
2022-02-21 19:07:15,8
2022-02-21 19:07:30,8
2022-02-21 19:07:45,8
2022-02-21 19:08:00,8
2022-02-21 19:08:15,8
2022-02-21 19:08:30,8
2022-02-21 19:08:45,8
2022-02-21 19:09:00,8
2022-02-21 19:09:15,8
2022-02-21 19:09:30,8
2022-02-21 19:09:45,8
2022-02-21 19:10:00,8
2022-02-21 19:10:15,8
2022-02-21 19:10:30,8
2022-02-21 19:10:45,8
2022-02-21 19:11:00,8
2022-02-21 19:11:15,8
2022-02-21 19:11:30,8
2022-02-21 19:11:45,8
2022-02-21 19:12:00,8
2022-02-21 19:12:15,8
2022-02-21 19:12:30,8
2022-02-21 19:12:45,8
2022-02-21 19:13:00,8
2022-02-21 19:13:15,8
2022-02-21 19:13:30,8
2022-02-21 19:13:45,8
2022-02-21 19:14:00,8
2022-02-21 19:14:15,8
2022-02-21 19:14:30,8

